# generated by launcher/tools/complexity_gate.py --update-baseline
# score	file:line	function
158	launcher/main/apps/sand/sand_impulse.c:565	step_impulses
148	launcher/main/apps/sand/app_sand.c:947	paint_row_n
129	launcher/main/apps/sand/sand_reactions.c:1495	step_one_burning_cell
122	launcher/main/apps/sand/tools/shading_palette.c:477	paint_row
113	launcher/main/apps/sand/sand_reactions.c:383	step_one_soaking_cell
101	launcher/main/apps/sand/sand_plants.c:710	step_one_growing_cell
88	launcher/main/apps/sand/tools/shading_palette.c:845	build_palette
87	launcher/main/apps/sand/sand_reactions.c:1832	step_one_reacting_row
84	launcher/main/apps/sand/tools/dump_reactions.c:1665	emit_pairwise_table
80	launcher/main/apps/sand/tools/shading_palette.c:1497	ega_build
75	launcher/main/apps/sand/sand_plants.c:166	find_water
69	launcher/main/apps/sand/sand_reactions.c:709	step_one_cold_cell
66	launcher/main/apps/sand/material_palette.c:784	material_colours
65	launcher/main/apps/sand/sand_reactions.c:1176	conduct_heat
65	launcher/main/apps/sand/tools/shading_palette.c:1752	write_sand_palette_header
61	launcher/main/apps/sand/tools/shading_palette.c:1081	report_ramps
60	launcher/main/apps/sand/sand_reactions.c:1320	step_one_dissolver_cell
52	launcher/main/apps/sand/sand_liquid.c:691	float_lighter_liquids
48	launcher/main/apps/sand/tools/shading_palette.c:2186	main
47	launcher/main/apps/sand/tools/shading_palette.c:195	enumerate
45	launcher/main/apps/cube/app_cube.c:461	cube_transform_and_bin
40	launcher/main/apps/sand/sand_reactions.c:2042	build_reaction_tables
39	launcher/main/gfx/gfx.c:1083	gfx_blit_dither
38	launcher/main/apps/sand/tools/dump_reactions.c:423	parse_reaction_docs
36	launcher/main/apps/sand/sand_reactions.c:2202	sand_step_reactions
35	launcher/main/apps/sand/app_sand.c:1362	draw_dirty_rows
35	launcher/main/apps/sand/sand.c:1317	run_sweep_stripes
33	launcher/main/apps/sand/sand_reactions.c:2148	refresh_moisture_blocks
31	launcher/components/small3dlib/include/small3dlib.h:1974	S3L_drawTriangle
30	launcher/main/apps/sand/sand_liquid.c:342	equalise_one_row
30	launcher/main/apps/sand/sand_plants.c:52	anchored
30	launcher/main/boot/boot_anim.c:451	draw_curve
30	launcher/main/main.c:474	app_main
29	launcher/main/apps/sand/app_sand.c:1950	sand_frame
29	launcher/main/gfx/gfx.c:1421	draw_glyph_font_dither
28	launcher/main/apps/sand/sand_plants.c:398	step_one_rooting_cell
28	launcher/main/apps/sand/tools/shading_palette.c:693	lloyd
27	launcher/main/gfx/gfx.c:1965	send_full_row
26	launcher/main/apps/sand/sand_reactions.c:869	step_one_tempered_cell
26	launcher/main/apps/sand/sand_reactions.c:196	try_heat_transform_given
26	launcher/main/apps/sand/tools/grid_fingerprint.c:361	scene_snow_thaw
25	launcher/main/apps/sand/tools/colour_lever1_counters.c:164	run_scene
25	launcher/main/apps/sand/tools/shading_palette.c:1337	draw_text
25	launcher/main/apps/sand/tools/shading_palette.c:1047	ramp_finish
25	launcher/main/apps/sand/tools/shading_palette.c:1652	render_scene
24	launcher/main/apps/sand/ui/brush_screen.c:269	brush_screen_draw
24	launcher/main/ui/ui_pointer.c:77	ui_pointer_step
23	launcher/main/apps/sand/tools/shading_palette.c:2095	run_one_dp_case
21	launcher/main/apps/sand/sand_reactions.c:610	step_one_warming_cell
21	launcher/main/apps/sand/tools/grid_fingerprint.c:304	scene_acid_bath
21	launcher/main/apps/sand/tools/shading_palette.c:1442	ega_choose
20	launcher/main/apps/sand/sand_gas.c:295	step_one_gas_grain
20	launcher/main/apps/sand/sand_impulse.c:459	impulse_charge_displacement
20	launcher/main/apps/sand/sand_impulse.c:136	queue_flying_grain
20	launcher/main/apps/sand/sand_impulse.c:303	sand_explode
20	launcher/main/apps/sand/sand_plants.c:334	step_one_conducting_cell
20	launcher/main/apps/sand/tools/shading_palette.c:356	scene_plants
20	launcher/main/apps/sand/ui/palette_screen.c:27	palette_screen_draw
19	launcher/main/apps/sand/sand_liquid.c:542	liquid_phase_worker
19	launcher/main/apps/sand/sand_reactions.c:330	cool_off_chain
19	launcher/main/boot/boot_anim.c:242	draw_floor
19	launcher/main/util/screenshot.c:68	screenshot_task
18	launcher/main/apps/diagnostics/ui/toggles_screen.c:9	toggles_screen_draw
18	launcher/main/apps/sand/material_palette.c:577	material_set_gravity
18	launcher/main/apps/sand/sand_plants.c:578	step_one_budding_cell
18	launcher/main/gfx/gfx.c:667	gfx_mark_dirty
18	launcher/main/gfx/gfx.c:1741	send_audit_check
18	launcher/tools/gfx_palette_gen.c:119	choose_dither
17	launcher/main/apps/sand/app_sand.c:1640	handle_pour_input
17	launcher/main/apps/sand/sand_gas.c:693	equalise_gas_one_cell
17	launcher/main/apps/sand/sand_gas.c:482	gas_phase_worker
17	launcher/main/apps/sand/sand_gas.c:977	sand_step_gas
17	launcher/main/apps/sand/tools/grid_fingerprint.c:521	scene_plant_ruin
17	launcher/main/main.c:373	step_app
16	launcher/main/apps/sand/suite_sand_reaction_encoding.c:113	reaction_ladder_reference_stage
16	launcher/main/boot/boot_anim.c:152	draw_grid_circle
15	launcher/main/apps/sand/app_sand.c:527	start_sim
15	launcher/main/apps/sand/sand.c:1473	sand_step
15	launcher/main/apps/sand/sand.c:1019	step_one_block
15	launcher/main/apps/sand/sand_gas.c:457	merge_gas_stripe
15	launcher/main/apps/sand/sand_liquid.c:137	equalise_one_cell
15	launcher/main/apps/sand/sand_liquid.c:210	equalise_one_row_cell
15	launcher/main/apps/sand/sand_liquid.c:512	merge_liquid_stripe
15	launcher/main/apps/sand/sand_plants.c:539	step_one_sprouting_cell
15	launcher/main/apps/sand/sand_reactions.c:1047	try_ignite_given
15	launcher/main/apps/sand/suite_sand_combustion.c:2060	test_burnt_out_fire_can_leave_smoke
15	launcher/main/apps/sand/suite_sand_dirt.c:358	test_soil_dries_biased_by_the_neighbour_it_just_watered
15	launcher/main/apps/sand/suite_sand_dune_blast.c:750	dune_over_wood_burning
15	launcher/main/apps/sand/suite_sand_impulse.c:85	test_a_blast_inside_a_sealed_vessel_stays_inside_it
15	launcher/main/apps/sand/suite_sand_impulse.c:1784	test_a_chunk_bounces_off_the_grid_edge_instead_of_waiting_there_forever
15	launcher/main/apps/sand/suite_sand_liquid_depth.c:710	test_the_blend_has_no_jump_crossing_45_degrees
15	launcher/main/apps/sand/suite_sand_perf.c:749	wood_leaf_row_pass
15	launcher/main/apps/sand/suite_sand_reaction_encoding.c:824	test_oil_mostly_boils_off_into_gas_not_acid
15	launcher/main/apps/sand/suite_sand_reaction_encoding.c:1873	test_quenching_makes_steam_but_burning_out_makes_smoke
15	launcher/main/apps/sand/suite_sand_roots.c:47	grow_plant_until_rooted
15	launcher/main/apps/sand/suite_sand_scenes.c:1001	build_boiler_scene
15	launcher/main/apps/sand/suite_sand_scenes.c:232	build_four_liquid_scene
15	launcher/main/apps/sand/suite_sand_seeds.c:505	test_a_buried_seed_comes_up_through_the_soil
15	launcher/main/apps/sand/suite_sand_seeds.c:771	test_a_hardened_trunk_is_left_with_foliage
15	launcher/main/apps/sand/suite_sand_spawning.c:44	assert_every_change_is_marked
15	launcher/main/apps/sand/tools/shading_palette.c:1580	ega_points
15	launcher/main/gfx/gfx.c:835	clip_line
15	launcher/main/gfx/gfx.c:1236	draw_glyph_font
15	launcher/main/ui/ui.c:516	ui_end_for_bands
15	launcher/test/suites/suite_boot_anim.c:1360	test_the_wobbles_oscillation_slows_as_it_lands
14	launcher/main/apps/sand/sand_liquid.c:578	equalise_liquid_stripes
14	launcher/main/apps/sand/sand_reactions.c:291	crack_run
14	launcher/main/apps/sand/sand_reactions.c:1750	step_one_acid_rain_cell
14	launcher/main/apps/sand/suite_sand_crossflow.c:112	test_crossflow_seam_transfer_matches_serial_in_eight_directions
14	launcher/main/apps/sand/suite_sand_gunpowder.c:154	test_gunpowder_falls_and_piles_like_a_powder
14	launcher/main/apps/sand/suite_sand_liquid_depth.c:532	mirror_ray_walk_source
