# generated by launcher/tools/quality/complexity_gate.py --update-baseline
# score	file:line	function
31	launcher/components/small3dlib/include/small3dlib.h:1974	S3L_drawTriangle
15	launcher/main/apps/render_lab/tests/suite_wire_pipeline.c:388	test_bbox_is_the_union_of_the_emitted_segments
15	launcher/main/apps/render_lab/wire_pipeline.c:37	clip_to_screen
15	launcher/main/apps/sand/sand_plants.c:609	step_one_sprouting_cell
15	launcher/main/apps/sand/sand_reactions.c:2201	react_burning_neighbors
15	launcher/main/apps/sand/sand_reactions.c:809	step_one_soaking_cell
15	launcher/main/apps/sand/tests/suite_sand_combustion.c:2147	test_burnt_out_fire_can_leave_smoke
15	launcher/main/apps/sand/tests/suite_sand_dirt.c:358	test_soil_dries_biased_by_the_neighbour_it_just_watered
15	launcher/main/apps/sand/tests/suite_sand_dune_blast.c:734	dune_over_wood_burning
15	launcher/main/apps/sand/tests/suite_sand_impulse.c:85	test_a_blast_inside_a_sealed_vessel_stays_inside_it
15	launcher/main/apps/sand/tests/suite_sand_impulse.c:1784	test_a_chunk_bounces_off_the_grid_edge_instead_of_waiting_there_forever
15	launcher/main/apps/sand/tests/suite_sand_liquid_depth.c:710	test_the_blend_has_no_jump_crossing_45_degrees
15	launcher/main/apps/sand/tests/suite_sand_perf.c:1126	wood_leaf_row_pass
15	launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c:824	test_oil_mostly_boils_off_into_gas_not_acid
15	launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c:1873	test_quenching_makes_steam_but_burning_out_makes_smoke
15	launcher/main/apps/sand/tests/suite_sand_roots.c:47	grow_plant_until_rooted
15	launcher/main/apps/sand/tests/suite_sand_scenes.c:1071	build_boiler_scene
15	launcher/main/apps/sand/tests/suite_sand_scenes.c:302	build_four_liquid_scene
15	launcher/main/apps/sand/tests/suite_sand_seeds.c:505	test_a_buried_seed_comes_up_through_the_soil
15	launcher/main/apps/sand/tests/suite_sand_seeds.c:771	test_a_hardened_trunk_is_left_with_foliage
15	launcher/main/apps/sand/tests/suite_sand_spawning.c:45	assert_every_change_is_marked
15	launcher/main/apps/sand/tests/suite_sand_two_core.c:812	tc_assert_corners_move_one_cell
15	launcher/main/apps/sand/tests/suite_sand_two_core.c:980	tc_assert_quality_corners_match_serial
15	launcher/main/apps/sand/tests/suite_sand_two_core.c:727	tc_grain_travel
15	launcher/main/apps/sand/tools/shading_palette.c:1820	ega_lloyd
15	launcher/main/apps/sand/tools/shading_palette.c:1913	ega_points
15	launcher/main/gfx/gfx.c:933	clip_line
