# file	function	callee	count
launcher/main/apps/render_lab/scene_pathtrace.c	scene_pathtrace_enter	heap_caps_malloc	1
launcher/main/apps/render_lab/scene_pathtrace.c	scene_pathtrace_exit	heap_caps_free	1
launcher/main/apps/render_lab/scene_wire.c	wire_enter	heap_caps_free	2
launcher/main/apps/render_lab/scene_wire.c	wire_enter	heap_caps_malloc	2
launcher/main/apps/render_lab/scene_wire.c	wire_exit	heap_caps_free	2
launcher/main/apps/render_lab/tests/suite_cube_band_perf.c	test_cube_band_mode_against_full_fb_on_the_same_scene	free	1
launcher/main/apps/render_lab/tests/suite_cube_band_perf.c	test_cube_band_mode_against_full_fb_on_the_same_scene	malloc	1
launcher/main/apps/render_lab/tests/suite_cube_band_perf.c	test_cube_orientation_and_fps_sweep	free	1
launcher/main/apps/render_lab/tests/suite_cube_band_perf.c	test_cube_orientation_and_fps_sweep	malloc	1
launcher/main/apps/render_lab/tests/suite_cube_perf.c	cube_perf_fixture	free	2
launcher/main/apps/render_lab/tests/suite_cube_perf.c	cube_perf_fixture	malloc	2
launcher/main/apps/render_lab/tests/suite_cube_perf.c	cube_perf_teardown	free	2
launcher/main/apps/render_lab/tests/suite_rt_cornell.c	check_every_pixel_is_traced_exactly_once	calloc	1
launcher/main/apps/render_lab/tests/suite_rt_cornell.c	check_every_pixel_is_traced_exactly_once	free	1
launcher/main/apps/render_lab/tests/suite_rt_cornell.c	sample_rgb	free	1
launcher/main/apps/render_lab/tests/suite_rt_cornell.c	sample_rgb	malloc	1
launcher/main/apps/render_lab/tests/suite_rt_path.c	schedule_fixture	calloc	1
launcher/main/apps/render_lab/tests/suite_rt_path.c	schedule_fixture	malloc	1
launcher/main/apps/render_lab/tests/suite_rt_path.c	schedule_fixture_free	free	2
launcher/main/apps/render_lab/tests/suite_rt_perf.c	run_quarter	heap_caps_free	1
launcher/main/apps/render_lab/tests/suite_rt_perf.c	run_quarter	heap_caps_malloc	1
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_cornell_split_matches_whole	free	2
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_cornell_split_matches_whole	malloc	2
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_seed_split_matches_whole	calloc	2
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_seed_split_matches_whole	free	4
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_seed_split_matches_whole	malloc	2
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_sweep_split_matches_whole	free	4
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_sweep_split_matches_whole	malloc	4
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	test_render_lattice_budget_matches_render_rows_over_the_same_range	free	2
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	test_render_lattice_budget_matches_render_rows_over_the_same_range	malloc	2
launcher/main/apps/render_lab/tests/suite_wire_pipeline.c	check_grid_is_fully_visible	free	4
launcher/main/apps/render_lab/tests/suite_wire_pipeline.c	check_grid_is_fully_visible	malloc	4
launcher/main/apps/render_lab/tests/suite_wire_primitives.c	is_connected	calloc	1
launcher/main/apps/render_lab/tests/suite_wire_primitives.c	is_connected	free	2
launcher/main/apps/render_lab/tests/suite_wire_primitives.c	is_connected	malloc	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	<file>	heap_caps_calloc	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	<file>	heap_caps_free	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	<file>	heap_caps_malloc	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	heap_caps_calloc	calloc	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	heap_caps_free	free	1
launcher/main/apps/render_lab/tools/render_lab_render_host_heap.c	heap_caps_malloc	malloc	1
launcher/main/apps/sand/app_sand.c	alloc_grid_bookkeeping	malloc	7
launcher/main/apps/sand/app_sand.c	sand_app_alloc_selfcheck	free	11
launcher/main/apps/sand/app_sand.c	sand_app_alloc_selfcheck	malloc	11
launcher/main/apps/sand/app_sand.c	start_sim	malloc	4
launcher/main/apps/sand/tests/suite_sand_chunk_sched.c	cs_check_partition	calloc	1
launcher/main/apps/sand/tests/suite_sand_chunk_sched.c	cs_check_partition	free	1
launcher/main/apps/sand/tests/suite_sand_colour_modes.c	measure_mode	free	1
launcher/main/apps/sand/tests/suite_sand_colour_modes.c	measure_mode	heap_caps_free	1
launcher/main/apps/sand/tests/suite_sand_colour_modes.c	measure_mode	heap_caps_malloc	1
launcher/main/apps/sand/tests/suite_sand_colour_modes.c	measure_mode	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_32_cell_snow_cover_turns_to_ice_in_about_five_minutes	calloc	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_32_cell_snow_cover_turns_to_ice_in_about_five_minutes	free	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_confined_gas_pocket_bursts_instead_of_just_catching	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_confined_gas_pocket_bursts_instead_of_just_catching	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_resting_snowbank_stays_settled_over_a_floor_it_chills	calloc	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_resting_snowbank_stays_settled_over_a_floor_it_chills	free	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_settled_snowbank_crusts_to_ice	calloc	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_settled_snowbank_crusts_to_ice	free	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_snowbank_crusts_on_its_faces_and_thickens_slowly_inward	calloc	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_a_snowbank_crusts_on_its_faces_and_thickens_slowly_inward	free	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_favours_smoke_over_gas	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_favours_smoke_over_gas	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_never_leaves_steam	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_never_leaves_steam	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_sometimes_leaves_nothing	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_acid_quenching_fire_sometimes_leaves_nothing	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_an_open_gas_pocket_still_just_catches_fire	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_an_open_gas_pocket_still_just_catches_fire	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_cold_conducts_deep_into_a_slab	calloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_cold_conducts_deep_into_a_slab	free	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_confined_gas_blasts_chain_without_losing_a_pocket	calloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_confined_gas_blasts_chain_without_losing_a_pocket	free	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_confined_gas_blasts_chain_without_losing_a_pocket	malloc	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_snow_does_not_crust_against_open_air	calloc	2
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_snow_does_not_crust_against_open_air	free	2
launcher/main/apps/sand/tests/suite_sand_common.c	board_bookkeeping_close	free	6
launcher/main/apps/sand/tests/suite_sand_common.c	board_bookkeeping_open	malloc	5
launcher/main/apps/sand/tests/suite_sand_common.c	lane_scratch_open	malloc	1
launcher/main/apps/sand/tests/suite_sand_crossflow.c	crossflow_fixture	malloc	1
launcher/main/apps/sand/tests/suite_sand_crossflow.c	crossflow_free	free	2
launcher/main/apps/sand/tests/suite_sand_crossflow.c	run_crossflow_seam_trial	free	1
launcher/main/apps/sand/tests/suite_sand_crossflow.c	run_crossflow_seam_trial	malloc	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_a_watered_bank_does_not_dry_back_to_one_flat_tone	free	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_a_watered_bank_does_not_dry_back_to_one_flat_tone	malloc	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_dirt_made_from_soaked_sand_still_dries_out_asleep	free	2
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_dirt_made_from_soaked_sand_still_dries_out_asleep	malloc	2
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_water_falling_onto_a_sleeping_dirt_bed_still_wets_it	free	2
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_water_falling_onto_a_sleeping_dirt_bed_still_wets_it	malloc	2
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	dune_over_wood_burning	free	6
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	dune_over_wood_burning	malloc	3
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_layered_dune_scene_throws_more_than_one_band	free	8
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_layered_dune_scene_throws_more_than_one_band	malloc	4
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_sand_dune_scene_throws_grains_beyond_its_own_footprint	free	8
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_sand_dune_scene_throws_grains_beyond_its_own_footprint	malloc	4
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_vessel_scene_lets_nothing_reach_outside_it	free	6
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_vessel_scene_lets_nothing_reach_outside_it	malloc	3
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_water_pool_scene_refills_its_own_cavity	free	6
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_water_pool_scene_refills_its_own_cavity	malloc	3
launcher/main/apps/sand/tests/suite_sand_full_redraw.c	test_full_redraw_repaints_a_stale_rect_and_sends_every_strip	free	1
launcher/main/apps/sand/tests/suite_sand_full_redraw.c	test_full_redraw_repaints_a_stale_rect_and_sends_every_strip	heap_caps_malloc	1
launcher/main/apps/sand/tests/suite_sand_gas_rows.c	gas_rows_fixture	malloc	1
launcher/main/apps/sand/tests/suite_sand_gas_rows.c	gas_rows_teardown	free	1
launcher/main/apps/sand/tests/suite_sand_glass_thermal.c	test_chilling_hot_glass_also_transforms_the_chilling_snow_cell	free	2
launcher/main/apps/sand/tests/suite_sand_glass_thermal.c	test_chilling_hot_glass_also_transforms_the_chilling_snow_cell	malloc	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_detonating_two_by_two_leaves_no_lit_gunpowder_behind	free	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_detonating_two_by_two_leaves_no_lit_gunpowder_behind	malloc	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_lit_gunpowder_trail_burns_along_itself	free	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_lit_gunpowder_trail_burns_along_itself	malloc	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_lit_two_by_two_of_gunpowder_detonates	free	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_lit_two_by_two_of_gunpowder_detonates	malloc	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_longer_fuse_cooldown_delays_the_next_blast	free	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_longer_fuse_cooldown_delays_the_next_blast	malloc	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_one_wide_lit_trail_never_detonates	free	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_one_wide_lit_trail_never_detonates	malloc	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_damp_gunpowder_ignites_less_readily_than_dry	free	4
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_damp_gunpowder_ignites_less_readily_than_dry	malloc	4
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_fuse_blasts_are_capped_at_one_per_step	free	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_fuse_blasts_are_capped_at_one_per_step	malloc	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_heat_conducted_through_stone_lights_gunpowder	free	1
