# file	function	callee	count
launcher/main/apps/diagnostics/tests/suite_command_list_budget.c	assert_budget	printf	1
launcher/main/apps/diagnostics/tests/suite_command_list_budget.c	assert_budget	snprintf	1
launcher/main/apps/diagnostics/ui/toggles_screen.c	draw_orientation_readout	snprintf	3
launcher/main/apps/diagnostics/ui/toggles_screen.c	draw_selftest_controls	snprintf	3
launcher/main/apps/input_lab/app_input_lab.c	draw_hud	snprintf	2
launcher/main/apps/input_lab/app_input_lab.c	draw_offsets	snprintf	3
launcher/main/apps/input_lab/app_input_lab.c	format_tenths	snprintf	1
launcher/main/apps/render_lab/scene_pathtrace.c	pathtrace_status	snprintf	3
launcher/main/apps/render_lab/scene_raytrace.c	raytrace_status	snprintf	2
launcher/main/apps/render_lab/scene_wire.c	wire_status	snprintf	1
launcher/main/apps/render_lab/tests/suite_command_list_budget.c	assert_budget	printf	1
launcher/main/apps/render_lab/tests/suite_command_list_budget.c	assert_budget	snprintf	1
launcher/main/apps/render_lab/tests/suite_cube_band_perf.c	run_orientation_fps_pair	snprintf	2
launcher/main/apps/render_lab/tests/suite_cube_perf.c	run_perf_variant	snprintf	1
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_cornell_split_matches_whole	snprintf	1
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_seed_split_matches_whole	snprintf	1
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	assert_sweep_split_matches_whole	snprintf	1
launcher/main/apps/render_lab/tests/suite_rt_row_split.c	test_split_mid_covers_every_row_exactly_once	snprintf	1
launcher/main/apps/render_lab/tools/render_lab_render_host.c	options	fprintf	1
launcher/main/apps/render_lab/tools/render_lab_render_host.c	setup	fprintf	1
launcher/main/apps/render_lab/ui/render_lab_hud_screen.c	render_lab_hud_screen_draw	snprintf	1
launcher/main/apps/render_lab/ui/render_lab_menu_screen.c	render_lab_menu_screen_draw	snprintf	3
launcher/main/apps/sand/app_sand.c	draw_mode_label	snprintf	1
launcher/main/apps/sand/app_sand.c	sand_console_line	printf	2
launcher/main/apps/sand/app_sand.c	sand_diagnostic_json	snprintf	1
launcher/main/apps/sand/tests/suite_command_list_budget.c	assert_budget	printf	1
launcher/main/apps/sand/tests/suite_command_list_budget.c	assert_budget	snprintf	1
launcher/main/apps/sand/tests/suite_sand_chunk_sched.c	cs_set_pass	snprintf	1
launcher/main/apps/sand/tests/suite_sand_chunk_sched.c	test_the_cut_gives_every_cell_to_exactly_one_chunk	snprintf	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_gas_escapes_a_pocket_through_a_lower_diagonal_in_landscape	snprintf	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_gas_escapes_through_a_down_diagonal_pocket_exit	snprintf	1
launcher/main/apps/sand/tests/suite_sand_combustion.c	test_sand_alone_lets_the_moisture_pass_switch_off_again	snprintf	1
launcher/main/apps/sand/tests/suite_sand_crossflow.c	run_crossflow_seam_trial	snprintf	1
launcher/main/apps/sand/tests/suite_sand_crossflow.c	test_crossflow_levels_a_line_across_every_border	snprintf	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_a_watered_bank_does_not_dry_back_to_one_flat_tone	snprintf	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_cullet_does_not_look_like_sand	snprintf	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_soil_is_one_monotone_luminance_ramp	snprintf	1
launcher/main/apps/sand/tests/suite_sand_dirt.c	test_water_falling_onto_a_sleeping_dirt_bed_still_wets_it	snprintf	1
launcher/main/apps/sand/tests/suite_sand_dune_blast.c	test_the_wood_floor_scene_catches_fire	snprintf	3
launcher/main/apps/sand/tests/suite_sand_extended_range.c	test_a_powder_lands_on_a_powder_but_sinks_in_a_liquid	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	assert_foam_never_stalls	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	assert_foam_not_degenerate	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_a_flat_rim_still_never_foams	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_a_liquid_interior_never_foams	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_foam_blobs_are_bigger_than_one_cell	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_foam_flip_rate_stays_even_across_the_phase_cycle	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_only_water_foams	snprintf	1
launcher/main/apps/sand/tests/suite_sand_foam.c	test_water_foams_where_its_rim_is_curved	snprintf	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_a_wet_neighbour_does_not_put_out_a_lit_fuse	snprintf	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_damp_gunpowder_ignites_less_readily_than_dry	snprintf	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_gunpowder_codes_decode_to_the_documented_moisture	snprintf	2
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_gunpowder_palette_tones_are_distinct_and_moisture_darkens	snprintf	3
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_material_name_says_gunpowder_for_every_code	snprintf	1
launcher/main/apps/sand/tests/suite_sand_gunpowder.c	test_water_wets_gunpowder_and_it_dries_out_slowly	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	SUBDIV_SPEED	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_chunk_bounces_off_the_grid_edge_instead_of_waiting_there_forever	snprintf	2
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_chunk_dropped_on_flat_ground_still_settles_on_it	snprintf	2
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_chunk_thrown_into_a_brush_drawn_wall_conserves_itself_and_settles	snprintf	2
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_chunk_thrown_into_a_closed_box_comes_to_rest	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_long_plow_through_a_wide_bank_never_exhausts_the_impulse_buffer	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_stone_chunk_thrown_into_a_sand_bed_launches_sand_airborne	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_a_thrown_powder_grain_flings_water_out_of_the_pool_it_hits	snprintf	1
launcher/main/apps/sand/tests/suite_sand_impulse.c	test_blocker_normal_and_reflect_off_normal_match_the_exhaustive_arc_table	snprintf	2
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	FLIP_TEST_MAX_MEAN_DEPTH	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	LANDSCAPE_DEPTH_TEST_W	snprintf	5
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	SATURATED_SWEEP_N	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_continuously_moving_boundary_does_not_run_away	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_fixed_depth_reads_the_same_at_every_tilt_angle	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_liquid_body_paints_flat_inside	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_settled_edge_does_not_flicker_stale_to_fresh	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_shallow_puddle_still_shows_real_darkening	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_sparse_repaint_does_not_band_a_tall_liquid_column	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_a_submerged_obstacle_casts_a_gravity_aligned_shadow	snprintf	2
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_axis_lock_tremor_does_not_wipe_the_depth_debounce	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_every_liquid_interior_is_exactly_the_body_colour_when_saturated	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_local_depth_follows_the_puddles_own_shape	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_shine_direction_is_unit_length	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_the_blend_has_no_jump_crossing_45_degrees	snprintf	1
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_the_debounce_survives_open_air_above_the_pool	snprintf	3
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_the_horizontal_debounce_survives_open_air_beside_the_pool	snprintf	3
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	test_turning_a_settled_pool_to_landscape_does_not_flash_the_whole_body	snprintf	1
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_pool_settles_at_the_angle_it_is_tilted_to	snprintf	2
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_tipped_basin_pours_its_water_out	snprintf	1
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_water_splash_actually_opens_a_gap	snprintf	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_every_swept_chunk_layout_is_one_the_planner_takes	snprintf	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_the_soak_only_skip_dispatches_far_fewer_cells_than_a_full_walk	snprintf	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_the_sweep_measures_both_cuts_every_quality_ships	snprintf	1
launcher/main/apps/sand/tests/suite_sand_perf.c	test_the_sweeps_gas_scenes_put_work_in_both_gas_passes	snprintf	1
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	assert_burn_plan_matches_its_rows	snprintf	5
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	assert_reaction_field_never_bare_extended	snprintf	1
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_a_reaction_never_mints_a_static_from_gunpowder_or_the_reverse	snprintf	2
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_every_burn_plan_row_matches_the_rows_it_folds	snprintf	2
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_every_liquid_declares_a_mobility	snprintf	1
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_pouring_more_of_a_liquid_wins_the_contest_against_the_other	snprintf	1
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_reaction_first_stage_never_dispatches_later_than_the_ladder	snprintf	2
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_rebuilding_the_plan_leaves_the_dispatch_stage_alone	snprintf	2
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_the_burn_plan_carries_the_decay_override	snprintf	1
launcher/main/apps/sand/tests/suite_sand_reaction_encoding.c	test_wood_burning_state_is_byte_identical_under_lit_from	snprintf	1
launcher/main/apps/sand/tests/suite_sand_roots.c	test_an_extended_material_survives_being_painted	snprintf	2
launcher/main/apps/sand/tests/suite_sand_roots.c	test_dirt_moisture_macros_and_codec_helpers_agree_on_every_byte	snprintf	4
launcher/main/apps/sand/tests/suite_sand_roots.c	test_every_extended_material_shares_one_physics_row	snprintf	2
launcher/main/apps/sand/tests/suite_sand_roots.c	test_every_material_has_a_palette_block	snprintf	3
launcher/main/apps/sand/tests/suite_sand_roots.c	test_every_ordinary_material_has_identical_twin_rows	snprintf	1
launcher/main/apps/sand/tests/suite_sand_roots.c	test_ice_is_its_own_colour	snprintf	1
launcher/main/apps/sand/tests/suite_sand_roots.c	test_painted_gunpowder_starts_dry_in_one_of_three_tones	snprintf	2
launcher/main/apps/sand/tests/suite_sand_roots.c	test_root_conversion_never_creates_moisture	snprintf	1
launcher/main/apps/sand/tests/suite_sand_roots.c	test_the_extended_half_rows_are_static_and_powder	snprintf	2
launcher/main/apps/sand/tests/suite_sand_roots.c	test_the_right_extended_materials_are_grained	snprintf	2
launcher/main/apps/sand/tests/suite_sand_roots.c	test_wood_leaf_wind_axis_stays_perpendicular_to_gravity	snprintf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_a_drying_no_plant_board_stays_off_the_full_walk	snprintf	2
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_a_soaking_no_plant_board_stays_on_the_soak_only_path	snprintf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_a_submerged_pile_settles_asleep_with_headroom	snprintf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_pouring_water_over_the_slope_reaches_the_floor	snprintf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_the_boiler_scene_keeps_boiling_across_the_window	snprintf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_the_filling_basin_scene_runs_from_the_lip_to_the_pool	snprintf	2
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_the_gas_ignition_vessel_logs_blasts_per_step	printf	1
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_the_gunpowder_basin_scene_reaches_the_reactions_it_claims	snprintf	5
launcher/main/apps/sand/tests/suite_sand_scenes.c	test_the_landscape_beds_sleep_against_the_landscape_floor	snprintf	5
